Date,Region,Place,Trigger,Trigger: additional info,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed,Accident and Rescue Summary,Terrain Summary,Weather Conditions and History,Comments 1,Comments 2,Comments 3,Comments 4,Depth_Inches,Width_Inches,Vertical_Inches,Elevation_Feet
3/21/2023,Salt Lake,Mill A,Natural,,,"8""",40',600',Southwest,"9,200'","40.662776789798, -111.681132303780",,,,,,,,,," 

 
",,,,8.0,480.0,7200.0,9200.0
4/1/2016,Salt Lake,Cottonwood Ridgeline,Natural,,New Snow,,,"1,000'",South,"10,500'",,,,,,,,,,,"Many size 1 and 2 wet loose naturals on April 1 from 1100-1500.  Photos UDOT, Pagnucco, Hardesty
",,,,,,12000.0,10500.0
12/25/2013,Uintas,Moffit Basin,Snowmobiler,Unintentionally Triggered,Depth Hoar,3',400',400',Northeast,"9,900'","40.810910000000, -110.961690000000",,,,,,,,,,"Most likely happening on or near Christmas Day, Steve noticed this large, sled triggered avalanche while riding in Moffit Basin yesterday.





.
",,,,36.0,4800.0,4800.0,9900.0
2/26/2018,Salt Lake,Santiago Ridge,Natural,Cornice Triggered,Facets,5',,,Northeast,"9,900'","40.609765135016, -111.687518523000",,,,,,,,,,"Out with some local pro skiers today in Cardiff and Mineral.  When we gained the ridge in Cardiff we got a good look at a grounder just south of GB No in Mineral.  HS-NC-D2.5-G/O....  Looked like a cornice failure on the ridgeline triggered a slab on one of our mid-pack weaknesses (possibly the same layer as the Room of Doom avalanche).  This slide then triggered a deeper avalanche in an immediately adjacent path which in turn triggered 2 other, smaller grounders to the north: Both ~5' deep at their deepest and about 100' wide.  And completely unconnected.  Very interesting sympathetic release IMO.  The larger avalanche snapped small trees and left an extenive debris pile.  Thinking this happened sometime overnight as there were groups in Mineral yesterday and this slide was not reported.
","Photo Comments: Orange line indicates initial avalanche, red lines indicate sympathetic slides",,,60.0,,,9900.0
3/9/2018,Skyline,Lake Canyon,Snowmobiler,,Facets,3.5',350',200',Northeast,"9,900'","39.580784761943, -111.296482073400",,,,,,,,,,"I came across another large avalanche that released in the last few days.  It appears it was sled triggered.  It broke into the weak faceted sugary snow near the ground.  The deepest part of the crown face was 4 feet deep or a bit more.  The avalanche only ran a short distance and stopped due to a bench but I was impressed by how deep the debris was.
",,,"There were at least two snowmobile tracks which were covered up by the debris from the avalanche. (red arrows in photo below) This means that there were snowmobilers on the slope prior to it releasing. Since there were no significant recent weather events that would have triggered the avalanche, this leads me to think that it was snowmobile triggered.

FOLLOW UP 3-13-2018:
A friend of mine mentioned that he new someone that triggered a large avalanche over the weekend. It turns out this is the avalanche that he triggered. It looks like I stumbled onto it not long after it happened. Definitely sled triggered and luckily no one caught or injured.

If you trigger an avalanche, you can help out your fellow rider by letting them know that sled triggered avalanches are happening. SUBMIT AVALANCHE REPORTS HERE or from our main menu.",42.0,4200.0,2400.0,9900.0
1/21/2016,Logan,Rodeo Grounds,Snow Bike,Unintentionally Triggered,Depth Hoar,4.5',70',,East,"9,400'","41.712032997721, -111.715443179000",,,,,,,,,,"This was (remote?) triggered by snow-bike....    (Weed)
",,,,54.0,840.0,,9400.0
4/28/2017,Salt Lake,Murdock Peak,Snowboarder,Unintentionally Triggered,Density Change,"12""",60',,East,"9,400'",,,,,,,,,,,,,,,12.0,720.0,,9400.0
2/20/2017,Salt Lake,PC Iron Mountain,Skier,Intentionally Triggered,New Snow/Old Snow Interface,"4""",10',400',East,"8,400'","40.662703798171, -111.540219771010",,,,,,,,,,Skied a few afternoon laps in Bowl 2 on Iron Mountain. Decided to go check out Bowl 3 and see how the new... now wet snow was bonding to the steeper aspects. Found a melt freeze crust underneath and thought the wet snow would easily move. Ski cut the top and a small wet slide pulled at my feet 4in x 10ft wide x 400ft long. Was pretty slow moving and picked up more snow as it moved down toward mid mountain trail. Side stepped back up to the ridge and skied down and out bowl 2 and lower angle terrain.  ,,,,4.0,120.0,4800.0,8400.0
2/5/2017,Logan,Logan River,Natural,,Wet grains,"12""",50',700',West,"6,500'","41.820463817932, -111.599088649560",,,,,,,,,,"I looked at a fresh natural wet avalanche that hit the Logan River.  The wet avalanche certainly entrained lots of loose wet snow, but I couldn't tell if it was a wet slab or just loose snow coming off cliffs high on the slope.
",,,,12.0,600.0,8400.0,6500.0
12/9/2013,Salt Lake,Upper Days,Skier,Unintentionally Triggered,Facets,"2""",50',300',Northeast,"10,000'","40.599093000000, -111.628561000000",,,,,,,,,,"I made a very bad judgement call yesterday and feel lucky to be alive, especially after hearing what happened to the lady in Grizzly.  I made several poor decisions.  1st traveling alone into BC on a dangerous avy conditions, 2nd dropping in NE facing area, 3rdly, not telling anyone where I was skiing.  (I always take the proper avy gear and was wearing a beacon, but what good is it, if you don't have someone to rescue you?)  I feel completely foolish and down right stupid for what I did.  I am very, very lucky and would hope others read this and learn from my stupidity.  I dodged a big bullet (as you can see by my ski tracks) and got extremely lucky....I did notice an even bigger slide in the same area someone kicked off with a cornice break.    I have never been in such a scary place and getting out was nothing short of a hellish-nightmare with ""collapsing"" layers everywhere, (the sound was nerve racking)  Fortunately, I did find a ""safety zone"" on  South facing ridge lines that provided a clean exit out of Days Fork, followed by sticking to the very top of the ridge line all the way back over to Flagstaff Peak.  I've never been so frighten for my life.   *(I would ask to stay anonymous but hope others read this and don't make the same stupid mistakes!!)  And trust me...I have learned my lesson!! NEVER again in BC alone!!",,,,2.0,600.0,3600.0,10000.0
1/30/2021,Southwest,LeBaron Lake,Snowmobiler,,,"12""",25',,North,"10,000'",,,,,,,,,,,"Way unstable  snow  would  stay off the steeps and circleville  bowl.
",,,,12.0,300.0,,10000.0
2/16/2021,Salt Lake,Little Superior,Explosive,Intentionally Triggered,Facets,,,,South,,"40.588797809846, -111.659030901510",,,,,,,,,,"D2
",,,,,,,
2/20/2011,,,Skier,,,2.5',150',700',Northeast,"7,300'","0.000000000000, 0.000000000000",,,,,,,,,,Remotely triggered while skinning an adjacent feature. Several smaller slides released on the descent.,,,,30.0,1800.0,8400.0,7300.0
3/1/2014,Salt Lake,Cardiff Fork,Natural,,Depth Hoar,3.5',200',500',West,"9,900'","40.602731000000, -111.648772000000",,,,,,,,,,"Wind loading overloaded a shallow pre-existing snowpack on this west facing aspect.  The fracture line ranged from 2.5 to 5 feet in depth.  We were a bit surprised to see an avalanche like this on this aspect but after considering the recent wind directions and the known shallow snowpack on the west faces, it all makes sense.

 
",,,There was a shallow crown face above the large crown face. It's possible that a smaller natural avalanche ran and triggered the larger slide.,42.0,2400.0,6000.0,9900.0
1/14/2020,Salt Lake,Scotts Peak,Natural,,Density Change,"12""",200',,Northeast,"9,900'","40.626099351901, -111.567362994610",,,,,,,,,,"All estimates; blown back in plus storm snow filling avalanche back in.  
",,,,12.0,2400.0,,9900.0
12/31/2021,Salt Lake,Porter Fork,,,,2',100',,Northeast,"9,500'","40.668391767824, -111.712074508930",,,,,,,,,,,,,,24.0,1200.0,,9500.0
2/22/2012,Logan,"Double Top Ridge, North",Snowmobiler,Unintentionally Triggered,Surface Hoar,3',200',500',Northeast,"9,000'","41.979484000000, -111.641436000000",1.0,1.0,,,,,,,,Rider was side-hilling on about a 20 degree slope when the hillside released uphill to a cliff band. Rider was able to stay on his sled and rode with in avalanche for approx. 50 yds until he out ran it. The slide ran through  some large trees. As the wave of snow went through it left snow on the tree trunks about 12 ft. up.,,,,36.0,2400.0,6000.0,9000.0
1/21/2016,Salt Lake,Gobblers Knob,Skier,Unintentionally Triggered,Facets,"18""",600',"1,250'",South,"10,000'","40.666951474815, -111.685399884810",2.0,2.0,1.0,1.0,1.0,1.0,"Two skiers, a 50 year old male (Tyson Bradley) working as lead guide and a 49 year old client (Douglas Green), were backcountry skiing in the Mill A drainage of Big Cottonwood Canyon. They were part of a group of 8 containing 3 guides and 5 clients who ascended Gobbler's ridge via Baker pass. They observed a size 2.5 (destructive scale) natural avalanche from the previous day on an east facing slope on Mt. Raymond but no cracking, collapsing or other signs of instability on the day of the accident.

Bradley and one client descended a south facing avalanche path west of and adjacent to the path of the fatal avalanche. After this run the client left the area because he had a meeting in town at 12:30 p.m. They skied the slope without incident while the rest of the group skied a north westerly facing, treed slope known as the “Benign Line.”

After the first run Bradley re-ascended the ridge and approached the top of the run called Whitesnake. He was joined by three others, one of whom was Douglas Green, and an apprentice guide. The third guide and one other client skied the “Benign Line” again.

Bradley dropped into the Whitesnake path, made a few ski cuts, and stopped 300' downhill at an island of safety on skier’s right about a foot above and to the side of where the avalanche released (see photo). He directed Green to ski to him. The apprentice guide and the other two clients remained at the top of the run. After regrouping, Bradley began skiing again and directed Green to remain where they had stopped. While skiing the next section, the guide felt the slope collapse (which is the weak layer failing just before the avalanche releases). At the same time he noticed Green had started skiing as well. The apprentice guide and the other two clients remained at the top of the run.

Bradley was caught in the avalanche but continued moving right. He impacted a tree and was pushed upward by the avalanche but not carried downhill. He was partially buried and sustained minor injuries. Green was carried downhill and fully buried. He inflated his avalanche air-bag backpack at some point during the avalanche.

After extricating himself from avalanche debris, Bradley skied down the scoured avalanche path and around an exposed rock band where he triggered a small avalanche. He started a beacon search at the edge of the avalanche debris. After covering several hundred yards of debris, he acquired the Green’s signal. His beacon indicated a distance of 77 meters. At the burial location the smallest distance displayed by his beacon was 0.9 meters. He pinpointed Green’s exact location with an avalanche probe.

Green was fully buried on his side with his head approximately 3 feet deep and his body approximately 4-5 feet. His avalanche airbag was inflated. Maximum debris depth was 15 feet. Bradley dug him out of the debris and began CPR. He could not find a pulse. The apprentice guide and two other skiers arrived about a minute after Bradley began digging. They assisted in the exhausting work of digging Green out of the debris. The avalanche was reported at 14:30 to Alta Central Dispatch by the third guide. A medical helicopter landed and evacuated both the Bradley and Green to a hospital in Salt Lake City where Green was pronounced deceased.

The enormous debris pile snapped aspen trees and covered the terrain trap gully below the avalanche path for hundreds of yards. There was no stauchwall or lower boundary of the avalanche because the slab covering the entire slope released, creating an enormous amount of avalanche debris. The avalanche - estimated at 1-2' deep and 600' wide, pulled down every bit of snow between the starting zone near the ridge at 10,000' and well into the gulley at 9000'. The alpha angle, the angle from the toe of the debris to the crown, was 22 degrees.

The Utah Avalanche Center rated the avalanche danger in this terrain as Considerable and had issued an Avalanche Warning on January 21, 2016. See danger rose and bottom line below from that day’s advisory.



“There [are] many weak layers and issues that will cause avalanches today. All the red flags are present. Widespread recent avalanche activity both natural and human triggered, recent snow and strong winds, widespread faceted layers in the snowpack, and today will have strong sunshine and temperatures possibly going above freezing. All these factors combine to make very dangerous avalanche conditions and a HIGH avalanche danger.”

The full advisory from that day can be found at:

https://utahavalanchecenter.org/advisory/salt-lake/01/21/2016

 ","The Whitesnake avalanche path just below the west summit of Gobbler's Knob at 10,246' has a steep starting zone that funnels into a narrow, rocky gully. The starting zone aspects ran from 107 degrees ESE to 215 degrees SSW. The upper starting zone was cross-loaded from strong west to northwest winds in the late evening of January 19 into January 20. Slope angles across the crown were not measured as conditions remained too hazardous to access the fracture line, though the starting zone is estimated at 35-37 degrees. Two adjacent slopes avalanched naturally several days later on January 24 and January 27.","The weather has been complex this winter. November’s snow was followed by a long, dry spell with only small, intermittent snow storms through early December. Periodic cold temperatures and clear skies faceted the shallow snowpack on shady slopes during this time. A series of storms between December 12th and 25th added several feet of snow to the snow pack and led to a major avalanche cycle.

Weather events became even more complex in January. The New Year was ushered in with a strong southeasterly wind event that scoured and loaded unusual aspects, producing another avalanche cycle. This was followed by small, almost daily storms between January 3rd and 8th. A dry spell between January 9th and 13th, with warm sunny days and clear cold nights, developed near surface facets on shady slopes and created ice crusts on top of faceted snow on solar aspects.

Between January 14th and 20th, snow fell six out of seven days, culminating on January 20th with strong southwest to northwesterly winds, dense heavy snow and an active avalanche cycle. Snow totals from Big Cottonwood and the Park City side ranged from 7” to 11"" on the 20th, with storm water equivalents of .65"" to 1.04"". The Mill D North SNOTEL site had similar SWE numbers.

January 21st had sunny skies and temperatures ranging from near 10 degrees F into the low 20s.","


","Information in this report was gathered by Utah Avalanche Center (UAC) staff Mark Staples from an interview with Tyson Bradley and by UAC staff members Drew Hardesty and Trent Meisenheimer who visited the site of the avalanche the following day with the third guide, Anna Keeling. This report was prepared by UAC Staff Mark Staples, Drew Hardesty, and Evelyn Lees. Photos provided by UAC, UDOT, and KSL.

Please direct any questions regarding this report to mstaples@fs.fed.us

Mark Staples, Director

Forest Service Utah Avalanche Center",,,18.0,7200.0,15000.0,10000.0
2/22/2010,Salt Lake,Main Days,Skier,Unintentionally Triggered,Surface Hoar,"18""",40',,Northeast,"9,800'","0.000000000000, 0.000000000000",,,,,,,,,," 
Photos by WPG Spencer Wheatley",,,,18.0,480.0,,9800.0
3/7/2020,Provo,Squash Head Ice Climb,Natural,,,,,,North,,"39.912015286404, -111.745868088890",,,,,,,,,,"
We (party of 3) ice climbed in Santaquin Canyon today looking to do Backoff and/or Squash Head.  We opted for Backoff first and arrived at the base around 11:15am.  We climbed and top roped the route.

 

At approximately 12:45pm while on Backoff we heard a rumbling noise from an undetermined direction.  As the sound became louder, we could tell it was an avalanche and it seemed to come from the gully to the north, which is the route called Squash Head.  We quickly wrapped up our session with the concern that Backoff also has similar terrain above it and perhaps another slide could happen on top of us.

 

After getting back to the road we could indeed see that a slide occurred on Squash Head.  The debris pile covered all of the staging area, spilled both down the approach gully and also into the trees off of the staging area.  The debris was dirty snow.  Logs larger than 18” in diameter and 15’ long were in the debris.  The size of the debris appeared it might have been able to burry a person, particularly had they been knocked over by the heavy wet debris.  This slide would have been extremely dangerous to a party on route.  One of our party surveyed the staging area while we spotted from the trees to climber’s left.  He did not notice any signs of other climbers. 

 

One of our party had been in Santaquin last season (2019-02-02) near these routes when a series of avalanches occurred.  Observations from that incident are logged on the UAC site.  Last night I reviewed those observations as well as the forecasts for the days leading up to the slides last year.  My interest in reviewing the previous incident was to determine what the conditions were so that we did not end up in the same situation.  I did not feel that the conditions last year were the similar enough to those today to cause us to change plans.

 

Today’s forecast was predicted to be warm (+45F), and the forecast was accurate to what we felt.  This is very warm for ice climbing, particularly when the route(s) are in known avalanche terrain.  Our rationale for proceeding with our day was that the incident in Feb. 2019 occurred for very different reasons than the conditions we experienced today.  See those reports for more detail. 

 

The weather has been stable for many days prior to today—clear, warm, and moderate wind, but little available snow to transport.  The conditions today did cloud up on our walk in.  My hypothesis is that the snow has been very stable in previous days despite the warmth and sun.  Today the weather was slightly different, warm but cloudy.  This could have warmed north facing snow more than previous days because it was not a clear sky.  The cooler snow on these aspects may have naturally released because of warming from the cloudy sky today.  Another possibility might be a glide avalanche since there are many slabs of rock above the route.  From the ground it was impossible to see the starting zone and therefore any more information about the cause.

",,,,,,,
2/23/2012,Salt Lake,Dutch Draw,Snowboarder,Unintentionally Triggered,Facets,"16""",50',600',East,"9,800'","40.653034000000, -111.592255000000",1.0,1.0,,1.0,,1.0,"Timothy Robert Baker, 24, died in an avalanche he triggered under the cliffs in Dutch Draw n February 23, 2012.
This is information is from talking with the Canyons ski patrollers who responded to the accident and a visit to the site by UAC forecasters Evelyn Lees and Brett Kobernik. More details may be added later if it is possible to interview the survivor.

The accident occurred in Dutch Draw, a backcountry area south of the Canyons Resort.

Timothy and his partner were on snowboards. They left through the well marked boundary gate at the top of 9990 Lift and traversed south It is believed both the victim and his partner descended about 150 or 200’ below the ridgeline and stopped near the cliffs. Then Timothy descended the next section first, triggered a slab avalanche. He was caught, carried and buried. Neither he nor his partner were wearing a beacon or had rescue gear.

Rescue: Timothy’s partner immediately headed down to the debris and started searching. As other backcountry travelers in adjacent area came into view, he called out for help, and a total of 8 people arrived. One was sent for help. The other 7 people searched the debris. None of the parties were equipped with beacons or rescue gear. Some skiers popped the baskets off their poles and probed. One struck the victim’s snowboard and they started digging just as 2 Canyons ski patrollers arrived on the scene. Timothy was dug out, and a ski patroller and Timothy’s partner started CPR. They transported the victim to a nearby flat area where a medical helicopter could land and transport the victim to the hospital. The victim was buried about 40 minutes. It is unknown if he died from trauma or asphyxiation.

The victim was carried about 600 vertical feet, strained through small trees, and buried near the toe of the slide. He buried head first downhill, face down, with his head approximately 3 feet below the snow surface in debris that was about 6 to 8 feet deep. The snowboard was broken in half, but held together by some of the material. 

 

email from Jay Torgersen, Flight Paramedic, AirMed

I was on the AirMed team that responded to the Canyons and worked with their Patrol on the side-country accident/fatality yesterday. Our team was made up of Casey Thompson-RN, Troy Stanton-Pilot and myself. Just wanted to pass on to your investigation team what a fantastic job the Canyon’s Patrol did coordinating the initial rescue effort. It was a difficult and potentially dangerous situation that they handled extremely well. It was evident that safety was their number one priority, not just for their own personnel but for those of us called in to assist. They also had to consider the safety of bystanders and the victim’s party who were attempting a partner rescue. There were several variables to consider in the cost versus benefit analysis faced by those running the incident. Having experienced and organized incident commanders with well thought out strategic plans and back-ups allowed the operation to unfold without further incident or harm to all involved. Without addressing the victims own personal preparedness, I don’t think there was anything that could have been done that would have changed the ultimate outcome. The Canyon’s Patrol and the Summit County SO team should be commended for outstanding work performed in a stressful, challenging and extremely difficult environment. Take care and be safe! Cheers,",,,,,,"This accident happened in Forest Service backcountry terrain often referred to as ""sidecountry"" because of its close proximity to the ski resort. It is clearly marked when you leave the Canyons Ski Resort and even though it is VERY close to the ski resort, it should be treated as all other backcountry terrain.",16.0,600.0,7200.0,9800.0
12/23/2017,Salt Lake,Grizzly Gulch,Skier,Remotely Triggered,,,200',,,"9,000'","40.593629080532, -111.625213610260",,,,,,,,,,"“Remotey triggered, propagated 100 yards down the gully, past the point shown in the picture”
",,,,,2400.0,,9000.0
12/22/2010,Salt Lake,West Monitor,Natural,,Density Change,"8""",200',500',Northeast,"9,900'","40.639032000000, -111.576848000000",,,,,,,,,,Lower density snow was failing under the weight of higher density snow that fell today and was getting transported by moderate southerly winds.  New snow measured about 14% which was sitting on lower density snow measuring around 8%.  A natural cycle seems to have taken place from around 12pm to 3pm.,,,,8.0,2400.0,6000.0,9900.0
3/27/2022,Logan,Zanavoo Gully,Natural,,Facets,,,"1,000'",North,"7,400'",,,,,,,,,,,,,,,,,12000.0,7400.0
3/18/2016,Ogden,Bountiful mountains,Skier,,,"14""",80',350',,,,,,,,,,,,,"Report of a skier triggered wind slab 14"" deep and 80' wide in the mountains above Bountiful.
 
",,,,14.0,960.0,4200.0,
4/7/2010,Uintas,1000 Peaks,Natural,,Depth Hoar,3.5',,,,"10,000'","40.824689000000, -111.088171000000",,,,,,,,,,We went up to remove the Windy Peak weather station and got to see all the carnage from the big April storm. We suspect most of the activity occurred sometime late Monday or early Tuesday during the height of the storm. ,Another large piece of snow breaking to the ground.,"This slide happened late in the storm and we suspect a large piece of cornice peeled off, triggering this slide which broke on weak snow near the ground.",This slide consists of two large pockets. The slide to the lookers left pulled out into low angle terrain in a fairly dense stand of trees.,42.0,,,10000.0
1/9/2017,Skyline,Huntington Canyon Mile 29.6 West facing,Natural,,New Snow/Old Snow Interface,,500',700',West,"8,400'","39.504688467458, -111.151857363330",,,,,,,,,,,,,,,6000.0,8400.0,8400.0
3/11/2020,Salt Lake,Little Cottonwood Canyon,,,,,,,North,,"40.567056847663, -111.729197489320",,,,,,,,,,,,,"Driving down LCC on Wednesday noticed multiple Large Loose Wet Avanlanches that came out of the North facing Chutes. Photo 1: The Y, and 2: Y-Not",,,,
4/15/2020,Salt Lake,Days Draw,Skier,,New Snow/Old Snow Interface,"5""",40',,Northeast,"10,300'",,,,,,,,,,,"The sloughs on the Draw/CSR were moving wickedly fast today, triggering numerous sympathetic releases, and running 100 to 150 feet or more. I knew the storm snow (5"" over the last two days) was likely to shear off the underlying ice layer, but I was surprised by how fast it was moving. With each turn the storm snow would shear away, so I'd ski out of the way of the sloughs. Once I decided to ski back into the slough and it nearly knocked me down, as it was running a foot deep and, again, very fast at that point, entraining snow as it went.

 

Today it was manageable, but add another few inches and the sloughs are going to need to be treated with respect on Thursday. 

 

(Sorry no photos. I was too busy skiing and avoiding sloughs.)
",,,,5.0,480.0,,10300.0
4/4/2023,Salt Lake,Foothills,Skier,,Density Change,"12""",200',,North,"6,500'","40.669474137394, -111.775374399710",,,,,,,,,,"Snow was very touchy with any slope over 30 degrees popping out and running pretty far. Of note though were two avalanches we believe we remotely triggered from the ridgeline above, likely 20-50' from the crown line. These avalanches were each 100-200' wide and ran the length of the slope.  Failure seemed to be happening on two density changes within the storm snow about 6"" and 12"" or so down. I've toured this zone on what were deemed extreme danger days by the UAC with far less reactivity. Quite exceptional avi conditions for this zone. 
",,,,12.0,2400.0,,6500.0
1/29/2023,Logan,Smithfield Canyon,Natural,,,,,,Southeast,"9,200'",,,,,,,,,,,,,,,,,,9200.0
3/27/2020,Ogden,North Ogden Divide,Skier,Intentionally Triggered,New Snow/Old Snow Interface,"8""",15',150',Southeast,"6,800'","41.326515304280, -111.903229939020",,,,,,,,,,"Two intentionally triggers avalanches were triggerd as a result of ski cutting at 1pm March 27, 2020 on  the North ogden divide at approximatly 6800' on a SE aspect. Both avlanches were wet slides approximatly 8"" deep 15' wide and ran 150'. Both failed on the new/ old snow interface. 
",,,"Generally, skiing conditions were excellent today in elevations above 7500', particularly on the sheltered Northerly slopes. 30cm (12"") of right side up snow. See the snow profile photo attached. The photo was taken at 8000' on a North-East aspect. ( A 1cm layer of graupel was observed at the new/ old snow interface.) Afternoon warming created wet slide instability on sunny slopes beginning around 11 am.",8.0,180.0,1800.0,6800.0
3/17/2022,Ogden,South Face,Natural,,,,,,Southwest,"7,800'",,,,,,,,,,,"Saw what looked to be a wet loose avalanche this morning. Elevation looked to be around 7500-8000' on a SSW aspect. 
",,,,,,,7800.0
2/23/2023,Moab,Middle Cirque,Natural,,,3',70',125',Northwest,"11,400'","38.443679688994, -109.250720488440",,,,,,,,,,"This avalanche occurred during a severe wind loading event with 13"" of new snow and sustained 35-45 mph winds. We had been tracking a spotty layer of facets that was covered up on Valentines Day. It is unknown if this avalanche failed on that layer or on the Feb 22 Interface.

 


",,,"On the day this avalanche was observed we dug a snowpit on NE aspect at a lower elevation and noted the following weak layers/interfaces.

 

",36.0,840.0,1500.0,11400.0
1/2/2010,Ogden,Bountiful Peak,Skier,Intentionally Triggered,,"12""",100',300',Northeast,"8,500'","40.974520000000, -111.822281000000",,,,,,,,,,"Avalanche was triggered while doing a slope cut which is a common procedure to test a slope before diving in.
Comments from email",,,,12.0,1200.0,3600.0,8500.0
1/25/2019,Skyline,Island Lake,Natural,,Facets,3',250',450',Northeast,"10,900'","39.060946371125, -111.519480930890",,,,,,,,,,"This most likely released due to wind loading but there were snowmobile tracks very near so it's possible it was snowmobile triggered.
",,,,36.0,3000.0,5400.0,10900.0
2/5/2019,Salt Lake,10420,Skier,,,10',200',,Northeast,"10,800'",,,,,,,,,,,"Very remote trigger. I was approximately 6 feet back from the roll over where the slope steepens and it propagated under my feet. I fell into the path but was not carried. This appeared to be a significant wind slab, combined with dense wet snow that broke all the way down on to a buried weak layer. When we measured the slope angle it was between 28-30 degrees. The crown was 8-10 feet deep in places.
",,,,120.0,2400.0,,10800.0
12/18/2020,Salt Lake,Cardiff Fork,Skier,Intentionally Triggered,Facets,2',45',70',Northwest,"9,100'",,,,,,,,,,,"Triggered this slide down by the mine in Cardiff, it was triggered remotely from 10 feet away.
",,,,24.0,540.0,840.0,9100.0
2/3/2023,Salt Lake,Empire Pass,Skier,Intentionally Triggered,New Snow/Old Snow Interface,"6""",30',20',West,"9,000'","40.602337521257, -111.519899355490",,,,,,,,,,"West aspects in open terrain around some rocky features were getting cross loaded and sensitive to the weight of a person. Still shallow and manageable on small test slopes, but I'd be looking to avoid larger slopes getting loaded. 
",,,,6.0,360.0,240.0,9000.0
3/21/2023,Salt Lake,Wolverine,Skier,Unintentionally Triggered,New Snow/Old Snow Interface,"12""",50',,Northwest,"10,500'","40.586946782633, -111.603337513510",,,,,,,,,,"Skiing a NW chute off the far skier right side of Wolverine Cirque I triggered a soft slab avalanche failing on the interface between the roughly 12"" of new snow and the layer beneath it. The first fracture broke at the top of the line in what appeared to be a small pocket of wind loaded snow.  As I skied in front of this relatively small amount of moving snow a sequence of 4-5 additional fractures broke in front of me as I skied as quickly as possible th rest of the way down the chute.  As I neared the exit of the chute to the apron several more fractures propagated in front of and around me.  Fortunately I was able to stay on my feet throughout all of this and carry enough forward momentum to outpace the moving snow.  In reviewing the incident, it appeared the slide would have been unlikely to result in a full burial but easily could have become dangerous in hazardous terrain, or perhaps with differnt timing in the same area.

 

This occurred at around 2pm.  While it was overcast at this time and had been intermittently cloudy for the previous few hours it seemed that this slope had received enough sun to make it more reactive than neighboring lines off the cirque.  Additionally there appeared to be wind loading at the top of the line, and possibly in some areas lower down.  

 

 
",,,,12.0,600.0,,10500.0
1/17/2020,Ogden,Cutler Ridge,Natural,,,,,,South,"7,000'",,,,,,,,,,,"A lot of loose wet activity at the low/mid elevation boundary on steep south facing terrain on Island Peak falling toward Cutler Creek. Likely owes to new snowfall, sun exposure, and yesterday afternoon's relative warmth.
",,,,,,,7000.0
3/23/2018,Salt Lake,Two Dogs,Natural,Repeater,Ground Interface,4',500',700',North,"10,000'","40.600893253253, -111.635496128330",,,,,,,,,,"We noticed this slide when we were entering the Hideaway park and decided to go get a closer look and possibly look for a signal in the massive debri piles.  We figured it ran last night due to warm temps, rain and the heavy winds that loaded the persistent layers.  We never got to the crown but estimated depth is 3' to 5' X 500' wide.  The debri pile was quite impressive possibly 15 to 20 feet deep with some trees scattered about.  
another photo by andrew korpi",,,,48.0,6000.0,8400.0,10000.0
1/22/2022,Uintas,Middle Fork Weber River,Natural,,,2',50',,East,"11,000'","40.693565292400, -111.015375839880",,,,,,,,,,"Found two hard slabs of wind drifted snow that seem to have been triggered naturally. The debris wasn't covered by snow from Friday so I suspect they happened sometime Saturday or Sunday as a result of winds from the north. 
",,,,24.0,600.0,,11000.0
